route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
6035,1,001,SINAI - FORT McHENRY,,3,,0000FF,FFFFFF
6036,1,003,SHEPPARD PRATT/CROMWELL-DOWNTOWN,,3,,0000FF,FFFFFF
6037,1,004,TURNERS STATION - C C B C ESSEX,,3,,0000FF,FFFFFF
6038,1,005,MONDAWMIN - CEDONIA,,3,,0000FF,FFFFFF
6039,1,007,MONDAWMIN - CANTON,,3,,0000FF,FFFFFF
6040,1,008,LUTHERVILLE - UMTC,,3,,0000FF,FFFFFF
6041,1,009,LUTHERVILLE-INTERNATIONAL CIRCLE,,3,,0000FF,FFFFFF
6042,1,010,RT. 40/ROLLING - BULLNECK RD.,,3,,0000FF,FFFFFF
6043,1,011,TOWSONTOWNE - CANTON CROSSING,,3,,0000FF,FFFFFF
6044,1,012,STELLA MARIS - NORTH AVE,,3,,0000FF,FFFFFF
6045,1,013,CANTON/FELLS POINT - WALBROOK,,3,,0000FF,FFFFFF
6046,1,014,UMTC/PATAPSCO - ANNAPOLIS,,3,,0000FF,FFFFFF
6047,1,015,SECURITY MALL - OVERLEA/PERRY HALL,,3,,0000FF,FFFFFF
6048,1,016,MONDAWMIN - BROOKLYN HOMES,,3,,0000FF,FFFFFF
6049,1,017,PATAPSCO STATION-PARKWAY CENTER,,3,,0000FF,FFFFFF
6050,1,018,GLEN - BAAS & TALMUDICAL,,3,,800080,FFFFFF
6051,1,019,STATE CENTER - GOUCHER/CARNEY,,3,,0000FF,FFFFFF
6052,1,020,SECURITY SQUARE MALL  -  DUNDALK,,3,,0000FF,FFFFFF
6053,1,021,FELLS POINT - MONDAWMIN,,3,,0000FF,FFFFFF
6131,1,022,BAYVIEW - MONDAWMIN,,3,,0000FF,FFFFFF
6055,1,023,RT40 & ROLLING - FOX RIDGE,,3,,0000FF,FFFFFF
6056,1,024,WHISPERING WOODS - MORAVIA,,3,,0000FF,FFFFFF
6057,1,027,PLAZA STATION - PORT COVINGTON,,3,,0000FF,FFFFFF
6058,1,029,CHERRY HILL STATION SHUTTLE,,3,,0000FF,FFFFFF
6059,1,030,BAYVIEW - EDMONDSON VILLAGE,,3,,0000FF,FFFFFF
6060,1,033,ROGERS STATION - MORAVIA,,3,,0000FF,FFFFFF
6128,1,035,WHITEMARSH P&R - UMBC / BLIND IND.,,3,,0000FF,FFFFFF
6129,1,036,NORTHERN PKWY & YORK - RIVERVIEW,,3,,0000FF,FFFFFF
6063,1,038,NORTH BEND-COLD SPRING & GRANDVIEW,,3,,0000FF,FFFFFF
6064,1,03X,CROMWELL BRIDGE - INNER HARBOR EXP,,3,,FF0000,FFFFFF
6065,1,040,SECURITY SQ. / MIDDLE RIVER.,,3,,FFFF00,990000
6066,1,044,ROSEDALE IND PK - SECURITY SQ. MALL,,3,,0000FF,FFFFFF
6067,1,046,CEDONIA-PARADISE QUICKBUS,,3,,FFFF00,990000
6068,1,047,WALBROOK-OVERLEA QUICKBUS,,3,,FFFF00,990000
6069,1,048,TOWSON - TRANSIT CTR,,3,,FFFF00,990000
6070,1,050,BELAIR EDISON SHUTTLE,,3,,0000FF,FFFFFF
6071,1,051,ROGERS STATION-PATAPSCO STATION,,3,,0000FF,FFFFFF
6072,1,052,MILFORD MILL RD-MONDAWMIN STAT,,3,,0000FF,FFFFFF
6073,1,053,OLD COURT METRO-MONDAWMIN METRO,,3,,0000FF,FFFFFF
6074,1,054,RANDALLSTOWN - NORTH & PENN,,3,,0000FF,FFFFFF
6075,1,055,FOX RIDGE - TOWSON,,3,,0000FF,FFFFFF
6076,1,056,GLYNDON - OWINGS MILLS MALL,,3,,0000FF,FFFFFF
6077,1,057,SECURITY SQ. MALL/SSA - ROGERS STA.,,3,,0000FF,FFFFFF
6130,1,058,RP STATION - WHITE MARSH,,3,,0000FF,FFFFFF
6079,1,059,OWINGS MILLS MALL - RP STATION,,3,,0000FF,FFFFFF
