stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
1,2700,CYLBURN & GREENSPRING f/s wb,CYLBURN AVE at GREENSPRING fs wb,39.35082,-76.660188,,,,,0
3,C093,LANIER & SINAI HOSPITAL,LANIER AVE at SINAI HOSPITAL nb,39.351145,-76.663113,,,,,0
4,C094,LANIER & BELVEDERE AVE N/B,LANIER AVE at BELVEDERE AVE,39.352817,-76.664699,,,,,0
8,D838,YELLOWOOD & FLAX TERR opp sb,YELLOWWOOD AVE at FLAX TERR opp sb,39.347125,-76.658168,,,,,0
9,3630,TAMARIND & YELLOWOOD f/s nb,TAMARIND RD at YELLOWWOOD AVE fs nb,39.345884,-76.654816,,,,,0
10,D840,TAMARIND & SPRING GARDEN N/B,TAMARIND RD at SPRING GARDEN nb,39.348325,-76.654783,,,,,0
11,C097,GREENSPRING AVE & OAKLEY AVE fs sb,,39.34888,-76.659361,,,,,0
12,C098,GREENSPRING AVE & WOODLAND fs sb,GREENSPRING AVE at WOODLAND AVE fs sb,39.346391,-76.659485,,,,,0
15,3621,GREENSPRING & DUPONT sb,GREENSPRING AVE at DUPONT AVE sb,39.344246,-76.658811,,,,,0
16,2709,GREENSPRING & COLD SPRING FS S/B,GREENSPRING AVE at COLD SPRING LN FS sb,39.340434,-76.658122,,,,,0
17,C095,GREENSPRING & LOYOLA S/B,GREENSPRING AVE at LOYOLA SOUTHWAY sb,39.339057,-76.657846,,,,,0
18,C100,GREENSPRING & OSWEGO S/B,GREENSPRING AVE at OSWEGO AVE sb,39.337811,-76.656615,,,,,0
19,C101,GREENSPRING & SHIRLEY FS S/B,GREENSPRING AVE at SHIRLEY AVE fs sb,39.336213,-76.656323,,,,,0
21,2711,GREENSPRING & DRUID PARK S/B,GREENSPRING AVE at DRUID PARK DR,39.330369,-76.65401,,,,,0
22,C103,DRUID PARK & HILLDALE PLACE wb,DRUID PARK DR at HILLDALE PL wb,39.328742,-76.655856,,,,,0
23,3601,REISTERSTOWN & DRUID PARK f/s sb,REISTERSTOWN RD at DRUID PARK DR f/s sb,39.324974,-76.657525,,,,,0
24,C085,REISTERSTOWN RD & WICHITA AVE sb,,39.322611,-76.655717,,,,,0
25,C086,REISTERSTOWN RD & OCALA AVE mid sb,,39.32142,-76.654848,,,,,0
26,B909,REISTERSTOWN RD & TIOGA PKWY sb,,39.319961,-76.653783,,,,,0
27,3609,MONDAWMIN STATION,LIBERTY HEIGHTS AVE,39.317969,-76.652923,,,,,0
31,C090,REISTERSTOWN & ELGIN AVE sb,REISTERSTOWN RD at ELGIN AVE sb,39.314688,-76.648242,,,,,0
32,3516,REISTERSTOWN & FULTON S/B,REISTERSTOWN RD at FULTON AVE sb,39.313351,-76.64662,,,,,0
35,C051,FULTON AVE & CLIFTON AVE sb,,39.311959,-76.646649,,,,,0
36,3510,FULTON & NORTH AVE S/B,FULTON AVE at NORTH AVE sb,39.30987,-76.646467,,,,,0
37,C052,FULTON & PRESBURY S/B,FULTON AVE at PRESBURY ST sb,39.307916,-76.646401,,,,,0
38,C053,FULTON & BAKER S/B,FULTON AVE at BAKER ST sb,39.306649,-76.646317,,,,,0
39,C054,FULTON & PRESSTMAN S/B,FULTON AVE at PRESSTMAN ST sb,39.305274,-76.646247,,,,,0
40,C055,FULTON & LORMAN S/B,FULTON AVE at LORMAN ST sb,39.304212,-76.646197,,,,,0
41,C056,FULTON & LAURENS fs S/B,FULTON AVE at LAURENS ST fs sb,39.302963,-76.646097,,,,,0
42,C057,RIGGS & FULTON FS E/B,RIGGS AVE at FULTON AVE fs eb,39.300907,-76.645545,,,,,0
44,C058,RIGGS & STRICKER E/B,RIGGS AVE at STRICKER ST eb,39.301032,-76.64167,,,,,0
46,C059,CALHOUN & MOSHER S/B,CALHOUN ST at MOSHER ST sb,39.30007,-76.640156,,,,,0
48,C060,CALHOUN & LANVALE S/B,CALHOUN ST at LANVALE ST sb,39.297812,-76.640058,,,,,0
50,3401,CALHOUN & HARLEM sb,CALHOUN ST at HARLEM AVE sb,39.296679,-76.639938,,,,,0
